class name,Date ,Duration,start,end,minimum,maximum,people,room surface area ,room height,Windows,no of win,door ,no of door,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End
,datetime,minutes,datetime,datetime,,,,m^2,m,m^2,constant,m^2,constant,humidity-indoor,humidity-Indoor,humidity-out,humidity-out,Co2,Co2,Temp-in,Temp-in,Temp-out,Temp-out,wind speed,wind speed
second elementray,2/4/2021,500,9.5,18,400,1224,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,2/5/2021,480,10.3,18.3,400,1139,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,2/8/2021,323,11.55,17.18,400,1840,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,2/9/2021,225,13.3,17.15,400,1414,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,2/10/2021,284,10.24,15.1,400,1103,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,2/11/2021,154,12.1,14.44,400,1558,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,2/12/2021,60,16.3,17.3,400,1756,14,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,2/17/2021,305,13.15,18.2,400,2393,13,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,2/18/2021,474,9.26,17.2,400,1021,13,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,2/19/2021,100,16.3,18.2,400,1911,13,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,2/22/2021,150,11.5,14.2,400,1175,,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,2/23/2021,307,10.53,16,400,1001,,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,2/24/2021,134,13.13,15.27,400,884,,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,2/25/2021,253,10.06,14.5,400,1107,,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,2/26/2021,134,16.05,18.19,400,1223,,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,3/1/2021,255,10,14.15,400,1555,,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,3/2/2021,326,10.04,326,400,1795,,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,3/3/2021,322,9.25,322,400,756,,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,3/4/2021,115,13.35,115,400,1546,,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,3/5/2021,184,16.26,184,400,1251,,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,3/8/2021,236,11.2,236,400,1133,,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,3/9/2021,395,10.25,395,400,1110,,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,12/9/2020,240,11.2,15.2,400,1443,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,12/10/2020,314,9.56,15.1,400,1695,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,12/11/2020,278,9.57,14.35,400,1827,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,12/14/2020,570,11.1,20.4,400,764,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,12/15/2020,76,13.24,14.4,400,1002,13,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,12/16/2020,205,12.5,16.15,400,2193,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,12/17/2020,243,9.57,14,400,1806,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,12/18/2020,597,11.48,20.45,400,2340,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,12/21/2020,304,8.56,14,400,1056,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,12/22/2020,120,13.4,15.4,400,1795,14,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,1/7/2021,338,13.1,18.48,400,1919,17,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,1/8/2021,124,11.31,13.35,400,1214,17,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,1/11/2021,210,10.4,14.1,400,1203,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,1/12/2021,170,11.4,14.3,400,1308,14,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,1/13/2021,275,10,14.35,400,1228,17,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,1/14/2021,195,13.3,16.45,400,1223,17,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,1/15/2021,175,9.3,13.08,400,1432,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,1/18/2021,378,9.12,15.3,400,1533,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,1/19/2021,139,12.42,14.51,400,2042,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,1/20/2021,345,10,15.45,400,2074,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,1/21/2021,150,13.3,17,400,2891,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,1/22/2021,274,9.46,14.2,400,2086,17,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,1/25/2021,90,13.26,14.5,400,2651,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,1/26/2021,95,13.32,15.07,400,1595,17,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,1/27/2021,315,11.35,16.5,400,2349,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,1/28/2021,288,11.05,15.53,400,1896,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,1/29/2021,188,11.46,14.54,400,2554,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,2/1/2021,162,13.18,16,400,1620,17,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,2/2/2021,66,12.54,14,400,1647,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,2/3/2021,200,12.2,15.4,400,1687,17,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,2/4/2021,413,9.52,16.45,400,1803,17,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,2/5/2021,104,12.46,14.3,400,1284,17,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,2/8/2021,105,13.25,15.1,400,1553,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,2/9/2021,314,9.06,14.2,400,1069,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,2/10/2021,184,10.56,14,400,1356,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,2/11/2021,180,9.27,14.3,400,1225,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,2/12/2021,208,11.42,13.1,400,1205,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,2/17/2021,219,11,14.39,400,2201,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,2/18/2021,278,9.57,14.35,400,1435,17,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,2/19/2021,265,11.4,16.1,400,1730,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,2/22/2021,70,12.4,13.5,400,1144,,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,2/23/2021,175,11.15,14.1,400,805,,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,2/24/2021,50,13.2,14.1,400,747,,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,2/25/2021,24,13.36,14,400,1742,,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
I elementary,2/26/2021,240,10.4,14.45,400,1202,,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
